prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
28999,hybride,automatique,rouge,suv,société,non,62272.0,10.0,181.0,5,5,4.447,1.841,1.624,1761.0,395.0,crit'air niveau 1,orthez,3.671457905544148,hybrid,225ch
15992,essence,automatique,blanc,berline,particulier,non,54862.0,7.0,130.0,5,5,4.055,1.765,1.43,1158.0,265.0,crit'air niveau 1,grenoble,4.369609856262834,1.2,puretech
14990,essence,manuelle,jaune,berline,loueur,non,17722.0,5.0,102.0,5,5,4.055,1.765,1.43,1090.0,352.0,crit'air niveau 1,saint-martin-sur-le-pré,1.4182067077344285,1.2,puretech
15799,essence,manuelle,noir,berline,particulier,non,22902.0,5.0,91.0,5,5,4.05,1.798,1.44,1007.0,391.0,crit'air niveau 1,coquelles,2.0917180013689256,1.0,tce
13699,essence,manuelle,blanc,berline,loueur,non,43913.0,4.0,67.0,5,5,4.05,1.798,1.44,953.0,391.0,crit'air niveau 1,arras,3.0910335386721424,1.0,sce
21999,hybride,automatique,bi-ton,suv,loueur,oui,36965.0,5.0,91.0,5,5,4.227,1.797,1.576,1461.0,440.0,crit'air niveau 1,laon,3.0855578370978782,1.6,e-tech
27578,hybride,automatique,gris,suv,importation,non,10.0,5.0,94.0,5,5,4.239,1.797,1.575,1295.0,440.0,crit'air niveau 1,arnas,0.4161533196440794,1.6,e-tech
12499,essence,manuelle,gris,berline,société,oui,30431.0,4.0,75.0,5,5,4.055,1.745,1.43,980.0,265.0,crit'air niveau 1,niort,2.5900068446269677,1.2,puretech
15999,essence,manuelle,blanc,berline,loueur,oui,14105.0,5.0,91.0,5,5,4.05,1.798,1.44,1007.0,391.0,crit'air niveau 1,maizières-la-grande-paroisse,2.2340862422997945,1.0,tce
16380,electrique,automatique,bleu,berline,loueur,non,21483.0,4.0,136.0,5,5,4.055,1.745,1.43,1455.0,265.0,crit'air niveau 0,bourg-en-bresse,3.4387405886379194,e-208,136ch
25998,diesel,automatique,gris,berline,particulier,non,7834.0,7.0,131.0,5,5,4.367,1.859,1.441,1361.0,412.0,crit'air niveau 2,la ravoire,1.3415468856947297,1.5,bluehdi
27999,hybride,automatique,bi-ton,suv,société,non,12925.0,5.0,94.0,5,5,4.239,1.797,1.575,1295.0,440.0,crit'air niveau 1,créteil,0.676249144421629,1.6,e-tech
15799,essence,manuelle,jaune,berline,société,oui,11569.0,5.0,102.0,5,5,4.055,1.765,1.43,1090.0,352.0,crit'air niveau 1,aix-en-provence,1.4483230663928817,1.2,puretech
19999,electrique,automatique,gris,berline,loueur,non,15049.0,4.0,136.0,5,5,4.055,1.765,1.43,1455.0,265.0,crit'air niveau 0,salon-de-provence,2.088980150581793,e-208,136ch
31489,hybride rechargeable,automatique,gris,suv,,non,100.0,5.0,98.0,5,5,4.545,1.805,1.68,1900.0,626.0,crit'air niveau 1,compiègne,0.8733744010951403,2.4,mivec
17499,essence,manuelle,bi-ton,suv,loueur,non,8945.0,5.0,91.0,5,5,4.227,1.797,1.576,1107.0,536.0,crit'air niveau 1,annemasse,2.3655030800821355,1.0,tce
24999,essence micro hybride,automatique,gris,suv,société,oui,38100.0,7.0,136.0,5,5,4.447,1.906,1.624,1478.0,520.0,,champniers,1.5441478439425051,hybrid,136ch
21999,essence micro hybride,automatique,noir,suv,loueur,non,38509.0,7.0,140.0,5,5,4.568,1.82,1.571,1261.0,513.0,,laon,1.4976043805612593,1.3,tce
14499,electrique,automatique,violet,berline,loueur,non,47982.0,4.0,109.0,5,5,4.087,1.787,1.562,1427.0,338.0,crit'air niveau 0,metz,3.3401779603011637,e-tech,evolution
21499,essence bioéthanol,manuelle,noir,suv,particulier,oui,10903.0,6.0,125.0,5,5,4.186,1.805,1.537,1205.0,456.0,,cambrai,3.326488706365503,1.0,flexifuel
10180,essence,manuelle,bi-ton,berline,particulier,oui,36960.0,4.0,83.0,5,5,3.996,1.749,1.474,,300.0,crit'air niveau 1,charleville-mézières,4.887063655030801,1.2,puretech
30499,hybride rechargeable,automatique,blanc,suv,,non,5.0,5.0,98.0,5,5,4.545,1.805,1.68,1900.0,626.0,crit'air niveau 1,vitry-sur-seine,0.8733744010951403,2.4,mivec
18499,gpl,manuelle,brun,break,particulier,non,40130.0,5.0,101.0,5,7,4.547,1.784,1.632,1291.0,712.0,crit'air niveau 1,dunkerque,2.7789185489390826,1.0,eco-g
16900,essence,manuelle,gris,berline,loueur,oui,4761.0,5.0,91.0,5,5,4.05,1.798,1.44,1007.0,391.0,crit'air niveau 1,soissons,1.9548254620123204,1.0,tce
